Name,Time

unidentified0,21:17:30
Obama,21:17:30
unidentified1,21:17:30
ElonMusk,21:17:30
unidentified2,21:17:30
pippen,21:18:34
Morgan,21:18:34
pippen,21:18:35
pippen,21:18:36
Morgan,21:18:36
pippen,21:18:37
pippen,21:18:37
pippen,21:18:37
Morgan,21:18:38
unidentified0,21:18:38
pippen,21:18:38
pippen,21:18:38
pippen,21:18:39
pippen,21:18:39
pippen,21:18:40
Morgan,21:18:40
Morgan,21:18:43
pippen,21:39:56
Morgan,21:39:56
pippen,21:39:56
pippen,21:39:57
Morgan,21:39:57
pippen,21:39:58
pippen,21:39:58
pippen,21:39:59
Morgan,21:39:59
unidentified0,21:39:59
pippen,21:40:00
pippen,21:40:00
pippen,21:40:01
pippen,21:40:01
pippen,21:40:02
Morgan,21:40:02
Morgan,21:40:05